sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
BGG_BOSW	NODE_12423_length_8439_cov_15.5	0.336	0.011	0.001	0.125	0.188	0.008	0.005	0.017	0.004	0.272	0.794	0.005	1426	14.981	8439	0.010	0.026	0.015	0.020	0.008	0.007	0.008	0.015	0.015	0.012	0.008	0.004	0.011	0.012	0.016	0.000	0.013	0.004	0.012	0.008
BGG_BOSW	NODE_15346_length_7185_cov_15.7	0.273	0.003	0.001	0.199	0.527	0.003	0.002	0.005	0.003	0.227	0.703	0.003	1220	14.998	7185	0.000	0.013	0.004	0.005	0.000	0.005	0.000	0.005	0.005	0.000	0.005	0.005	0.000	0.000	0.000	0.000	0.005	0.010	0.005	0.000
BGG_BOSW	NODE_16670_length_6730_cov_13.4	0.291	0.010	0.002	0.000	0.368	0.003	0.030	0.013	0.004	0.282	0.820	0.006	990	12.847	6730	0.006	0.024	0.006	0.011	0.020	0.005	0.000	0.013	0.018	0.011	0.006	0.006	0.012	0.019	0.000	0.016	0.011	0.000	0.007	0.006
BGG_BOSW	NODE_876_length_59267_cov_18.6	0.777	0.002	0.000	0.087	0.234	0.001	0.001	0.003	0.001	0.297	0.851	0.001	11184	17.922	59267	0.002	0.003	0.002	0.001	0.003	0.002	0.003	0.001	0.005	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.003
BGG_BOSW	NODE_431_length_99736_cov_13.3	0.942	0.001	0.000	0.990	0.666	0.001	0.000	0.002	0.001	0.302	0.856	0.001	13227	12.888	99736	0.002	0.000	0.001	0.000	0.002	0.002	0.000	0.002	0.001	0.000	0.001	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_455_length_96663_cov_14.3	0.935	0.000	0.000	0.375	0.459	0.000	0.000	0.001	0.000	0.305	0.856	0.000	13659	13.880	96663	0.001	0.002	0.001	0.000	0.000	0.001	0.000	0.001	0.000	0.001	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000
BGG_BOSW	NODE_28686_length_4432_cov_10.9	0.271	0.012	0.002	0.175	0.680	0.010	0.007	0.016	0.009	0.306	0.856	0.011	569	10.479	4432	0.000	0.018	0.036	0.024	0.013	0.000	0.012	0.013	0.011	0.000	0.000	0.000	0.022	0.014	0.000	0.012	0.000	0.013	0.033	0.011
BGG_BOSW	NODE_109_length_235236_cov_41.3	1.000	0.001	0.000	0.267	0.283	0.001	0.000	0.001	0.000	0.318	0.885	0.000	98537	39.932	235236	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.001	0.000	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001
BGG_BOSW	NODE_6407_length_13842_cov_15.6	0.346	0.003	0.001	0.885	0.427	0.003	0.001	0.008	0.002	0.323	0.887	0.002	2264	15.022	13842	0.008	0.004	0.000	0.000	0.003	0.003	0.004	0.003	0.007	0.003	0.007	0.003	0.000	0.003	0.003	0.006	0.003	0.000	0.000	0.003
BGG_BOSW	NODE_22431_length_5345_cov_9.4	0.283	0.006	0.002	0.990	0.640	0.005	0.002	0.019	0.009	0.323	0.887	0.008	543	9.052	5345	0.019	0.000	0.011	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.030	0.000	0.011	0.022	0.000	0.000	0.011	0.000	0.000
BGG_BOSW	NODE_40186_length_3427_cov_7.6	0.262	0.003	0.002	0.990	0.427	0.002	0.002	0.020	0.007	0.329	0.899	0.007	273	7.349	3427	0.020	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_39717_length_3458_cov_45.6	0.434	0.003	0.001	0.990	0.582	0.003	0.001	0.009	0.003	0.335	0.910	0.003	1665	43.964	3458	0.009	0.000	0.003	0.010	0.004	0.003	0.000	0.004	0.000	0.004	0.000	0.004	0.000	0.007	0.000	0.003	0.003	0.004	0.000	0.010
BGG_BOSW	NODE_10121_length_9846_cov_11.0	0.310	0.010	0.002	0.000	0.271	0.000	0.033	0.014	0.004	0.339	0.914	0.007	1112	10.656	9846	0.015	0.017	0.005	0.006	0.019	0.012	0.019	0.005	0.006	0.020	0.013	0.005	0.007	0.006	0.028	0.006	0.006	0.000	0.000	0.010
BGG_BOSW	NODE_10278_length_9729_cov_7.9	0.275	0.002	0.001	0.990	0.503	0.001	0.001	0.010	0.004	0.348	0.923	0.004	756	7.624	9729	0.010	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_3896_length_19945_cov_11.9	0.394	0.004	0.001	0.687	0.571	0.004	0.001	0.010	0.004	0.297	0.851	0.004	2407	11.595	19945	0.010	0.005	0.004	0.007	0.000	0.004	0.000	0.008	0.008	0.004	0.000	0.004	0.000	0.000	0.008	0.000	0.003	0.015	0.000	0.000
BGG_BOSW	NODE_38814_length_3521_cov_8.8	0.241	0.010	0.003	0.000	0.000	0.003	0.013	0.013	0.005	0.218	0.689	0.011	331	8.459	3521	0.000	0.023	0.036	0.000	0.000	0.017	0.000	0.020	0.000	0.022	0.000	0.016	0.000	0.017	0.019	0.020	0.000	0.018	0.000	0.000
BGG_BOSW	NODE_30162_length_4263_cov_6.5	0.263	0.002	0.002	0.990	0.353	0.001	0.002	0.020	0.006	0.206	0.655	0.006	293	6.266	4263	0.020	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_1579_length_40513_cov_45.7	0.763	0.002	0.000	0.170	0.206	0.001	0.001	0.003	0.001	0.191	0.614	0.001	19439	44.171	40513	0.001	0.006	0.002	0.002	0.002	0.002	0.002	0.002	0.001	0.001	0.002	0.001	0.001	0.002	0.002	0.002	0.001	0.002	0.001	0.002
BGG_BOSW	NODE_740_length_66856_cov_18.1	0.822	0.002	0.000	0.158	0.241	0.001	0.001	0.002	0.001	0.108	0.418	0.001	12367	17.508	66856	0.002	0.003	0.002	0.003	0.002	0.000	0.002	0.002	0.003	0.001	0.001	0.001	0.001	0.000	0.002	0.001	0.002	0.002	0.001	0.002
BGG_BOSW	NODE_389_length_106923_cov_21.1	0.963	0.001	0.000	0.000	0.202	0.000	0.002	0.001	0.000	0.109	0.418	0.000	24096	20.324	106923	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.000	0.001	0.002	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_18691_length_6160_cov_8.5	0.311	0.008	0.003	0.444	0.403	0.005	0.003	0.025	0.012	0.109	0.418	0.011	513	8.229	6160	0.021	0.028	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.023	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_11961_length_8702_cov_9.0	0.289	0.006	0.001	0.312	0.292	0.004	0.002	0.014	0.006	0.111	0.421	0.006	827	8.666	8702	0.006	0.027	0.006	0.008	0.000	0.000	0.007	0.007	0.000	0.007	0.000	0.000	0.007	0.006	0.000	0.015	0.000	0.000	0.008	0.007
BGG_BOSW	NODE_1367_length_44977_cov_35.3	0.751	0.003	0.000	0.046	0.154	0.002	0.002	0.004	0.001	0.116	0.437	0.001	16826	34.035	44977	0.002	0.007	0.004	0.004	0.004	0.004	0.003	0.004	0.003	0.004	0.003	0.002	0.002	0.004	0.002	0.003	0.001	0.004	0.003	0.002
BGG_BOSW	NODE_7982_length_11780_cov_8.2	0.282	0.005	0.001	0.007	0.335	0.000	0.018	0.007	0.003	0.122	0.454	0.004	992	8.029	11780	0.000	0.009	0.007	0.008	0.007	0.008	0.000	0.000	0.015	0.007	0.007	0.008	0.000	0.000	0.000	0.007	0.000	0.008	0.000	0.000
BGG_BOSW	NODE_23516_length_5152_cov_9.5	0.258	0.004	0.002	0.446	0.437	0.003	0.002	0.013	0.006	0.143	0.532	0.006	508	9.245	5152	0.011	0.017	0.000	0.000	0.000	0.014	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.012	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_2963_length_24951_cov_11.6	0.417	0.003	0.001	0.145	0.409	0.003	0.003	0.005	0.003	0.147	0.541	0.003	2940	11.222	24951	0.004	0.007	0.003	0.003	0.003	0.013	0.000	0.000	0.005	0.000	0.003	0.000	0.006	0.009	0.000	0.005	0.000	0.003	0.003	0.002
BGG_BOSW	NODE_1523_length_41580_cov_12.7	0.587	0.001	0.000	0.326	0.363	0.001	0.000	0.003	0.001	0.148	0.542	0.001	5533	12.262	41580	0.001	0.006	0.001	0.001	0.001	0.000	0.000	0.001	0.000	0.000	0.001	0.001	0.002	0.000	0.001	0.002	0.000	0.000	0.000	0.004
BGG_BOSW	NODE_3628_length_21214_cov_13.0	0.417	0.006	0.001	0.316	0.473	0.005	0.002	0.011	0.006	0.151	0.546	0.006	2844	12.545	21214	0.002	0.029	0.004	0.005	0.000	0.005	0.000	0.004	0.009	0.004	0.000	0.007	0.002	0.012	0.004	0.002	0.007	0.005	0.009	0.002
BGG_BOSW	NODE_31468_length_4130_cov_11.4	0.236	0.004	0.002	0.402	1.239	0.003	0.002	0.007	0.007	0.159	0.558	0.007	526	11.019	4130	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.011	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.019
BGG_BOSW	NODE_3382_length_22467_cov_16.1	0.401	0.001	0.000	0.178	0.670	0.001	0.001	0.001	0.001	0.158	0.558	0.001	3794	15.549	22467	0.000	0.002	0.003	0.002	0.000	0.000	0.002	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.001	0.000	0.002	0.000	0.003	0.000
BGG_BOSW	NODE_6702_length_13388_cov_10.0	0.337	0.004	0.001	0.990	0.403	0.003	0.001	0.014	0.004	0.159	0.558	0.004	1429	9.754	13388	0.014	0.000	0.000	0.005	0.000	0.000	0.012	0.005	0.000	0.000	0.006	0.005	0.012	0.006	0.000	0.005	0.000	0.000	0.005	0.000
BGG_BOSW	NODE_6963_length_13022_cov_33.2	0.490	0.012	0.001	0.000	0.181	0.002	0.021	0.016	0.003	0.157	0.558	0.004	4321	32.231	13022	0.009	0.019	0.017	0.013	0.007	0.017	0.021	0.015	0.020	0.009	0.014	0.007	0.010	0.007	0.007	0.007	0.017	0.012	0.009	0.005
BGG_BOSW	NODE_4025_length_19471_cov_23.2	0.425	0.002	0.000	0.215	0.279	0.001	0.001	0.003	0.001	0.164	0.571	0.001	4772	22.363	19471	0.002	0.005	0.003	0.001	0.005	0.000	0.001	0.001	0.002	0.002	0.000	0.001	0.001	0.001	0.003	0.000	0.000	0.005	0.001	0.001
BGG_BOSW	NODE_46464_length_3071_cov_15.9	0.290	0.010	0.003	0.290	0.656	0.008	0.004	0.017	0.010	0.165	0.571	0.011	542	15.345	3071	0.000	0.047	0.011	0.000	0.012	0.000	0.012	0.000	0.014	0.012	0.000	0.013	0.000	0.013	0.000	0.025	0.013	0.013	0.012	0.000
BGG_BOSW	NODE_107_length_237174_cov_27.3	1.000	0.001	0.000	0.109	0.205	0.001	0.000	0.001	0.000	0.168	0.574	0.000	68097	26.412	237174	0.001	0.002	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
BGG_BOSW	NODE_19229_length_6031_cov_16.2	0.323	0.006	0.002	0.554	0.380	0.005	0.002	0.018	0.006	0.171	0.582	0.006	1008	15.704	6031	0.018	0.014	0.000	0.011	0.009	0.000	0.000	0.020	0.000	0.010	0.000	0.000	0.010	0.011	0.010	0.010	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_5227_length_16016_cov_16.0	0.384	0.008	0.001	0.036	0.197	0.003	0.010	0.011	0.002	0.175	0.592	0.003	2798	15.386	16016	0.007	0.012	0.018	0.008	0.002	0.008	0.011	0.006	0.008	0.010	0.006	0.008	0.002	0.009	0.010	0.007	0.006	0.002	0.010	0.002
BGG_BOSW	NODE_22805_length_5276_cov_15.1	0.271	0.007	0.001	0.030	0.407	0.002	0.019	0.009	0.004	0.178	0.595	0.006	853	14.558	5276	0.006	0.010	0.007	0.013	0.016	0.000	0.006	0.000	0.020	0.006	0.008	0.000	0.008	0.008	0.000	0.007	0.000	0.000	0.020	0.000
BGG_BOSW	NODE_43124_length_3245_cov_5.2	0.237	0.002	0.002	0.293	0.271	0.000	0.003	0.017	0.009	0.179	0.595	0.009	176	5.101	3245	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_7239_length_12662_cov_8.9	0.306	0.005	0.001	0.350	0.523	0.004	0.002	0.010	0.006	0.180	0.596	0.006	1148	8.561	12662	0.006	0.020	0.000	0.000	0.009	0.007	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.021	0.008	0.000	0.008	0.000
BGG_BOSW	NODE_460_length_96040_cov_54.0	0.976	0.001	0.000	0.086	0.198	0.001	0.001	0.002	0.000	0.183	0.596	0.000	55030	51.965	96040	0.001	0.002	0.001	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
BGG_BOSW	NODE_718_length_68690_cov_27.9	0.866	0.001	0.000	0.003	0.191	0.000	0.003	0.002	0.000	0.182	0.596	0.001	20202	26.938	68690	0.001	0.002	0.001	0.003	0.002	0.002	0.002	0.002	0.002	0.001	0.002	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.002	0.001
BGG_BOSW	NODE_43896_length_3202_cov_5.3	0.323	0.004	0.003	0.990	0.322	0.002	0.003	0.038	0.011	0.188	0.608	0.010	178	5.116	3202	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_2764_length_26423_cov_53.6	0.683	0.001	0.000	0.149	0.462	0.001	0.001	0.002	0.001	0.348	0.923	0.001	14771	51.867	26423	0.001	0.002	0.002	0.002	0.000	0.001	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.000	0.001	0.001	0.003	0.001	0.001
BGG_BOSW	NODE_16_length_565028_cov_25.5	1.000	0.002	0.000	0.000	0.156	0.001	0.002	0.002	0.000	0.097	0.402	0.000	141700	24.760	565028	0.002	0.003	0.002	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.001	0.002
BGG_BOSW	NODE_510_length_88003_cov_39.4	0.951	0.001	0.000	0.217	0.277	0.001	0.000	0.001	0.000	0.346	0.923	0.000	36219	38.087	88003	0.001	0.002	0.001	0.001	0.000	0.001	0.001	0.001	0.002	0.000	0.000	0.001	0.000	0.001	0.000	0.001	0.001	0.001	0.001	0.001
BGG_BOSW	NODE_152_length_194626_cov_52.3	1.000	0.001	0.000	0.004	0.257	0.001	0.001	0.001	0.000	0.358	0.939	0.000	108061	50.276	194626	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001
BGG_BOSW	NODE_881_length_59096_cov_13.5	0.744	0.001	0.000	0.751	1.005	0.001	0.000	0.001	0.001	1.000	1.000	0.001	8305	13.022	59096	0.000	0.000	0.001	0.001	0.002	0.001	0.002	0.001	0.000	0.001	0.001	0.000	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000
BGG_BOSW	NODE_391_length_106702_cov_22.7	0.965	0.001	0.000	0.990	0.651	0.001	0.000	0.001	0.001	1.000	1.000	0.001	25230	21.930	106702	0.000	0.001	0.001	0.002	0.001	0.002	0.002	0.002	0.002	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.000
BGG_BOSW	NODE_37366_length_3627_cov_5.3	0.183	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	198	5.226	3627	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_17490_length_6482_cov_9.6	0.221	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	660	9.379	6482	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_14606_length_7474_cov_6.5	0.227	0.004	0.002	0.872	2.155	0.004	0.002	0.004	0.009	1.000	1.000	0.008	505	6.209	7474	0.000	0.000	0.018	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.018	0.000
BGG_BOSW	NODE_2575_length_27977_cov_8.4	0.418	0.003	0.001	0.276	0.852	0.003	0.001	0.003	0.003	1.000	1.000	0.003	2372	8.160	27977	0.003	0.000	0.003	0.000	0.000	0.003	0.000	0.014	0.006	0.000	0.000	0.003	0.007	0.003	0.004	0.007	0.000	0.000	0.003	0.000
BGG_BOSW	NODE_372_length_108969_cov_19.3	0.965	0.001	0.000	0.291	8.646	0.001	0.000	0.001	0.001	0.999	1.000	0.001	21382	18.647	108969	0.001	0.001	0.002	0.001	0.000	0.002	0.001	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.002	0.001	0.000	0.001	0.001	0.001
BGG_BOSW	NODE_6197_length_14175_cov_16.2	0.353	0.005	0.001	0.990	1.828	0.005	0.001	0.008	0.006	0.803	1.000	0.005	2297	15.634	14175	0.008	0.000	0.009	0.005	0.004	0.013	0.000	0.008	0.017	0.000	0.012	0.000	0.000	0.004	0.013	0.000	0.000	0.000	0.000	0.004
BGG_BOSW	NODE_147_length_197417_cov_40.2	0.999	0.001	0.000	0.988	1.205	0.001	0.000	0.001	0.000	1.000	1.000	0.000	80591	38.922	197417	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.000	0.001	0.000	0.001	0.001	0.000	0.000	0.001	0.001
BGG_BOSW	NODE_16405_length_6814_cov_8.6	0.218	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	604	8.323	6814	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGG_BOSW	NODE_1253_length_48056_cov_61.4	0.865	0.001	0.000	0.990	0.673	0.001	0.000	0.001	0.000	1.000	1.000	0.000	30949	59.143	48056	0.001	0.002	0.002	0.001	0.001	0.002	0.001	0.002	0.002	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002
BGG_BOSW	NODE_4406_length_18195_cov_13.2	0.383	0.009	0.001	0.726	1.266	0.010	0.001	0.010	0.006	1.000	1.000	0.006	2510	12.639	18195	0.006	0.008	0.009	0.013	0.014	0.009	0.015	0.014	0.009	0.008	0.006	0.009	0.003	0.003	0.003	0.005	0.016	0.000	0.018	0.021
BGG_BOSW	NODE_713_length_69008_cov_40.7	0.898	0.000	0.000	0.022	8.523	0.000	0.001	0.000	0.000	1.000	1.000	0.000	28637	39.437	69008	0.000	0.001	0.000	0.001	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.001	0.000
BGG_BOSW	NODE_4880_length_16871_cov_16.0	0.397	0.012	0.001	0.788	0.702	0.012	0.001	0.012	0.006	1.000	1.000	0.006	2894	15.311	16871	0.005	0.006	0.021	0.011	0.019	0.009	0.025	0.008	0.007	0.015	0.017	0.012	0.010	0.010	0.016	0.013	0.005	0.009	0.007	0.007
BGG_BOSW	NODE_7449_length_12395_cov_14.6	0.345	0.009	0.002	0.139	0.797	0.008	0.006	0.012	0.006	0.869	1.000	0.008	1940	14.007	12395	0.004	0.019	0.015	0.008	0.020	0.004	0.004	0.008	0.010	0.004	0.028	0.004	0.004	0.004	0.004	0.004	0.004	0.014	0.023	0.004
BGG_BOSW	NODE_20079_length_5822_cov_107.6	0.795	0.005	0.000	0.025	0.346	0.003	0.006	0.005	0.001	0.667	1.000	0.002	6496	103.108	5822	0.003	0.007	0.009	0.005	0.007	0.001	0.002	0.004	0.003	0.006	0.005	0.006	0.006	0.001	0.005	0.003	0.003	0.004	0.004	0.003
BGG_BOSW	NODE_4388_length_18252_cov_20.8	0.432	0.006	0.001	0.990	0.625	0.006	0.001	0.010	0.003	0.492	1.000	0.002	3889	20.127	18252	0.010	0.000	0.008	0.006	0.004	0.008	0.006	0.008	0.006	0.004	0.004	0.008	0.008	0.011	0.004	0.009	0.008	0.004	0.006	0.004
BGG_BOSW	NODE_20272_length_5775_cov_8.9	0.233	0.005	0.002	0.218	0.536	0.006	0.004	0.006	0.007	1.000	1.000	0.009	602	8.558	5775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.013	0.010	0.000	0.000	0.011	0.000	0.012	0.000	0.000	0.000	0.012
BGG_BOSW	NODE_125_length_219395_cov_14.9	1.000	0.001	0.000	0.990	2.888	0.001	0.000	0.001	0.001	0.891	1.000	0.001	32409	14.480	219395	0.001	0.001	0.002	0.001	0.001	0.002	0.001	0.001	0.002	0.000	0.000	0.001	0.000	0.000	0.002	0.001	0.000	0.001	0.000	0.001
BGG_BOSW	NODE_14369_length_7564_cov_16.3	0.306	0.011	0.002	0.688	0.956	0.011	0.002	0.011	0.007	1.000	1.000	0.007	1325	15.696	7564	0.005	0.008	0.011	0.010	0.021	0.005	0.022	0.023	0.017	0.016	0.000	0.011	0.016	0.000	0.006	0.012	0.000	0.012	0.016	0.006
BGG_BOSW	NODE_243_length_144000_cov_15.1	0.991	0.001	0.000	0.623	0.591	0.001	0.000	0.001	0.000	1.000	1.000	0.000	22265	14.553	144000	0.000	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.001	0.000	0.001	0.001	0.001	0.000	0.000	0.000
BGG_BOSW	NODE_549_length_83598_cov_14.6	0.902	0.005	0.000	0.000	0.000	0.003	0.002	0.006	0.001	0.418	1.000	0.001	12978	14.085	83598	0.004	0.006	0.006	0.007	0.003	0.006	0.004	0.006	0.004	0.006	0.008	0.005	0.004	0.004	0.004	0.006	0.002	0.007	0.004	0.004
BGG_BOSW	NODE_553_length_83425_cov_19.1	0.905	0.002	0.000	0.408	1.843	0.002	0.000	0.002	0.001	0.985	1.000	0.001	16794	18.414	83425	0.002	0.003	0.001	0.002	0.003	0.001	0.002	0.001	0.001	0.000	0.002	0.001	0.001	0.001	0.002	0.002	0.003	0.001	0.003	0.003
