sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
BGG_POSDC	NODE_51034_length_6089_cov_8.6	24	class	Actinomycetia	3	3	2	0.67	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_POSDC	NODE_56047_length_5785_cov_12.3	19031	species	Pseudolabrys sp019247925	6	5	3	0.75	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Pseudolabrys;s_Pseudolabrys sp019247925
BGG_POSDC	NODE_60868_length_5526_cov_9.3	2	superkingdom	Bacteria	3	1	1	1.0	d_Bacteria
BGG_POSDC	NODE_66644_length_5256_cov_14.5	15179	family	Hyphomicrobiaceae	7	7	3	0.59	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae
BGG_POSDC	NODE_74586_length_4934_cov_7.9	63643	species	VAWY01 sp005888335	4	4	2	0.65	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Solirubrobacterales;f_Solirubrobacteraceae;g_VAWY01;s_VAWY01 sp005888335
BGG_POSDC	NODE_83516_length_4637_cov_9.4	9258	species	Streptomyces violaceus	2	2	1	0.5	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces violaceus
BGG_POSDC	NODE_120625_length_3760_cov_118.1	50440	species	Hyphomicrobium A sp009026145	7	7	3	0.71	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Hyphomicrobium A;s_Hyphomicrobium A sp009026145
BGG_POSDC	NODE_129477_length_3612_cov_6.7	39910	species	AC-14 sp005888325	2	2	1	0.5	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales;f_AC-14;g_AC-14;s_AC-14 sp005888325
BGG_POSDC	NODE_142966_length_3411_cov_8.6	3499	genus	Methyloceanibacter	4	4	4	1.0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methyloligellaceae;g_Methyloceanibacter
BGG_POSDC	NODE_158449_length_3212_cov_10.5	950	order	Solirubrobacterales	4	4	2	0.65	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Solirubrobacterales
BGG_POSDC	NODE_171170_length_3070_cov_12.7	2	superkingdom	Bacteria	4	2	2	1.0	d_Bacteria
BGG_QOSDA	NODE_59_length_357026_cov_699.5	6495	genus	Fen-1362	368	348	213	0.69	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4;g_Fen-1362
BGG_QOSDA	NODE_272_length_177833_cov_295.9	13904	genus	UBA6249	217	208	120	0.64	d_Bacteria;p_Omnitrophota;c_Koll11;o_GIF10;f_UBA6249;g_UBA6249
BGG_QOSDA	NODE_642_length_110152_cov_330.9	4496	genus	LD21	111	104	68	0.69	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
BGG_QOSDA	NODE_1117_length_78416_cov_41.9	1356	family	Bryobacteraceae	84	78	57	0.76	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales;f_Bryobacteraceae
BGG_QOSDA	NODE_1853_length_56809_cov_173.7	74549	species	UBA1305 sp002307275	74	68	38	0.73	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Acetivibrionales;f_DTU013;g_UBA1305;s_UBA1305 sp002307275
BGG_QOSDA	NODE_27430_length_6966_cov_33.6	77708	species	JAAYGP01 sp012727625	5	5	2	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Acetivibrionales;f_DSM-8532;g_JAAYGP01;s_JAAYGP01 sp012727625
BGG_QOSDA	NODE_32293_length_6182_cov_20.1	13540	genus	UBA6024	8	7	4	0.66	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Prolixibacteraceae;g_UBA6024
BGG_QOSDA	NODE_39733_length_5324_cov_9.9	2	superkingdom	Bacteria	8	8	8	1.0	d_Bacteria
BGG_QOSDA	NODE_48380_length_4626_cov_96.0	77834	species	JAAKFR01 sp011064985	4	4	4	1.0	d_Bacteria;p_Chlamydiota;c_Chlamydiia;o_Chlamydiales;f_JAAKFR01;g_JAAKFR01;s_JAAKFR01 sp011064985
BGG_QOSDA	NODE_56484_length_4151_cov_77.4	5302	genus	Sporosarcina	4	4	4	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Sporosarcina
BGG_QOSDA	NODE_67804_length_3650_cov_12.7	24	class	Actinomycetia	6	5	4	0.99	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_QOSDA	NODE_79797_length_3267_cov_6.4	53019	genus	DTKD01	4	4	3	0.99	d_Bacteria;p_Armatimonadota;c_UBA5829;o_UBA5829;f_UBA5829;g_DTKD01
BGG_KOSDC	NODE_42_length_173837_cov_40.5	539	genus	Mesorhizobium	282	259	214	0.88	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Mesorhizobium
BGG_KOSDC	NODE_352_length_67870_cov_9.9	8989	family	Parachlamydiaceae	56	53	27	0.53	d_Bacteria;p_Chlamydiota;c_Chlamydiia;o_Chlamydiales;f_Parachlamydiaceae
BGG_KOSDC	NODE_810_length_45031_cov_37.1	2	superkingdom	Bacteria	38	36	33	0.97	d_Bacteria
BGG_BOSW	NODE_3_length_1096596_cov_16.9	50602	species	UBA8524 sp003531115	1028	977	598	0.66	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_NS11-12g;f_UBA8524;g_UBA8524;s_UBA8524 sp003531115
BGG_BOSW	NODE_152_length_194626_cov_52.3	1105	order	Acidimicrobiales	221	205	143	0.77	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales
BGG_BOSW	NODE_501_length_89181_cov_12.5	2	superkingdom	Bacteria	62	55	48	0.86	d_Bacteria
BGG_BOSW	NODE_1040_length_53720_cov_13.5	2	superkingdom	Bacteria	15	12	10	0.77	d_Bacteria
BGG_BOSW	NODE_1808_length_36267_cov_14.8	477	family	Sphingomonadaceae	55	50	28	0.59	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
BGG_BOSW	NODE_3169_length_23584_cov_23.1	78541	species	Sporichthya sp013815995	30	30	16	0.64	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Sporichthyales;f_Sporichthyaceae;g_Sporichthya;s_Sporichthya sp013815995
BGG_BOSW	NODE_4802_length_17082_cov_13.4	37847	species	Aureimonas A glaciei	33	33	17	0.77	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Aureimonas A;s_Aureimonas A glaciei
BGG_BOSW	NODE_6702_length_13388_cov_10.0	5100	genus	SXXK01	13	10	5	0.7	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Planctomycetales;f_Planctomycetaceae;g_SXXK01
BGG_BOSW	NODE_9883_length_10024_cov_10.4	58122	species	SXXK01 sp003670925	10	10	6	0.63	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Planctomycetales;f_Planctomycetaceae;g_SXXK01;s_SXXK01 sp003670925
BGG_BOSW	NODE_12558_length_8370_cov_9.4	52000	species	Pseudolysinimonas yzui	10	10	5	0.55	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Pseudolysinimonas;s_Pseudolysinimonas yzui
BGG_POSDC	NODE_298_length_59508_cov_42.3	16725	genus	Aestuariivirga	69	67	49	0.87	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Aestuariivirgaceae;g_Aestuariivirga
BGG_POSDC	NODE_956_length_38907_cov_32.0	6913	family	UBA2999	46	42	22	0.58	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales;f_UBA2999
BGG_POSDC	NODE_1753_length_30455_cov_16.8	39910	species	AC-14 sp005888325	28	27	17	0.7	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales;f_AC-14;g_AC-14;s_AC-14 sp005888325
BGG_POSDC	NODE_2714_length_25693_cov_17.7	18213	species	R-RK-3 sp002198715	26	25	16	0.64	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhodomicrobiaceae;g_R-RK-3;s_R-RK-3 sp002198715
BGG_POSDC	NODE_4263_length_21083_cov_12.1	27	genus	Mycobacterium	23	22	15	0.71	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
BGG_POSDC	NODE_5649_length_18450_cov_17.3	2880	genus	Palsa-1315	25	25	22	0.94	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_Nitrospirales;f_Nitrospiraceae;g_Palsa-1315
BGG_POSDC	NODE_7058_length_16734_cov_35.1	48629	species	Nocardioides euryhalodurans	17	17	13	0.85	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae;g_Nocardioides;s_Nocardioides euryhalodurans
BGG_POSDC	NODE_8972_length_14961_cov_11.0	2	superkingdom	Bacteria	3	2	1	0.5	d_Bacteria
BGG_POSDC	NODE_10372_length_13925_cov_16.9	23	phylum	Actinobacteriota	7	5	3	0.6	d_Bacteria;p_Actinobacteriota
BGG_POSDC	NODE_12475_length_12685_cov_24.3	77	class	Alphaproteobacteria	14	12	6	0.73	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
BGG_POSDC	NODE_54480_length_5879_cov_23.1	5931	genus	AV80	4	4	3	0.75	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Chthoniobacterales;f_UBA10450;g_AV80
BGG_POSDC	NODE_59069_length_5619_cov_10.6	2	superkingdom	Bacteria	5	5	5	1.0	d_Bacteria
BGG_POSDC	NODE_64648_length_5345_cov_12.9	1760	family	Nitrospiraceae	4	4	4	1.0	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_Nitrospirales;f_Nitrospiraceae
BGG_POSDC	NODE_71451_length_5056_cov_20.1	4880	class	Polyangia	3	3	2	0.95	d_Bacteria;p_Myxococcota;c_Polyangia
BGG_POSDC	NODE_80000_length_4746_cov_18.5	2880	genus	Palsa-1315	5	5	5	1.0	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_Nitrospirales;f_Nitrospiraceae;g_Palsa-1315
BGG_POSDC	NODE_91239_length_4409_cov_20.0	18213	species	R-RK-3 sp002198715	10	9	4	0.56	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhodomicrobiaceae;g_R-RK-3;s_R-RK-3 sp002198715
BGG_POSDC	NODE_98876_length_4213_cov_6.0	2	superkingdom	Bacteria	10	10	10	1.0	d_Bacteria
BGG_POSDC	NODE_110209_length_3963_cov_39.7	2	superkingdom	Bacteria	5	5	5	1.0	d_Bacteria
BGG_POSDC	NODE_122910_length_3722_cov_9.4	64	family	Burkholderiaceae	5	4	2	0.51	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
BGG_POSDC	NODE_132013_length_3571_cov_6.2	77962	species	Nannocystis sp016793465	4	4	2	0.65	d_Bacteria;p_Myxococcota;c_Polyangia;o_Nannocystales;f_Nannocystaceae;g_Nannocystis;s_Nannocystis sp016793465
BGG_POSDC	NODE_16451_length_11037_cov_10.6	24	class	Actinomycetia	11	10	8	0.8	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_POSDC	NODE_20551_length_9884_cov_21.2	183	order	Rhizobiales	7	6	4	0.67	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
BGG_POSDC	NODE_24647_length_9001_cov_194.5	2924	family	Nocardioidaceae	8	8	7	1.0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae
BGG_POSDC	NODE_28048_length_8395_cov_13.7	24	class	Actinomycetia	10	10	8	0.78	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_POSDC	NODE_32566_length_7770_cov_80.3	50043	species	JACDBZ01 sp013694645	12	11	4	0.55	d_Bacteria;p_Chloroflexota;c_Limnocylindria;o_QHBO01;f_QHBO01;g_JACDBZ01;s_JACDBZ01 sp013694645
BGG_POSDC	NODE_37280_length_7214_cov_11.7	1373	family	Xanthobacteraceae	10	10	6	0.62	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae
BGG_POSDC	NODE_40730_length_6891_cov_19.0	25315	family	Thermoleophilaceae	7	6	4	0.67	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Solirubrobacterales;f_Thermoleophilaceae
BGG_POSDC	NODE_46873_length_6382_cov_10.5	34008	species	Flavitalea sp014379345	2	2	1	0.5	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Flavitalea;s_Flavitalea sp014379345
BGG_POSDC	NODE_51322_length_6070_cov_26.7	2880	genus	Palsa-1315	21	21	16	0.8	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_Nitrospirales;f_Nitrospiraceae;g_Palsa-1315
BGG_POSDC	NODE_56698_length_5750_cov_46.3	63694	species	JACCXG01 sp013697225	5	5	3	0.73	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales;f_2-12-FULL-66-21;g_JACCXG01;s_JACCXG01 sp013697225
BGG_MOSDA	NODE_2824_length_26259_cov_56.3	12464	genus	Pirellula B	35	32	13	0.59	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_Pirellulaceae;g_Pirellula B
BGG_MOSDA	NODE_4192_length_21811_cov_15.5	2704	order	Pirellulales	16	14	8	0.61	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales
BGG_MOSDA	NODE_5626_length_18915_cov_8.3	2	superkingdom	Bacteria	23	19	19	1.0	d_Bacteria
BGG_MOSDA	NODE_7177_length_16839_cov_34.3	2924	family	Nocardioidaceae	25	23	10	0.52	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae
BGG_MOSDA	NODE_9390_length_14709_cov_12.7	69056	species	Sphingomicrobium sp013812825	14	13	8	0.72	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomicrobium;s_Sphingomicrobium sp013812825
BGG_MOSDA	NODE_12132_length_12886_cov_25.1	21071	family	2-12-FULL-66-21	12	11	8	0.7	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales;f_2-12-FULL-66-21
BGG_MOSDA	NODE_14867_length_11546_cov_55.7	50965	species	JACDDX01 sp013813435	13	12	11	1.0	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes;o_Gemmatimonadales;f_GWC2-71-9;g_JACDDX01;s_JACDDX01 sp013813435
BGG_MOSDA	NODE_17896_length_10443_cov_25.5	35458	genus	JACDBZ01	9	9	8	0.86	d_Bacteria;p_Chloroflexota;c_Limnocylindria;o_QHBO01;f_QHBO01;g_JACDBZ01
BGG_MOSDA	NODE_21662_length_9422_cov_21.0	285	order	Lachnospirales	12	11	6	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales
BGG_MOSDA	NODE_25093_length_8709_cov_45.1	2	superkingdom	Bacteria	7	6	6	1.0	d_Bacteria
BGG_LOSDA	NODE_6918_length_15745_cov_17.4	8748	order	Hydrogenedentiales	12	12	8	0.64	d_Bacteria;p_Hydrogenedentota;c_Hydrogenedentia;o_Hydrogenedentiales
BGG_LOSDA	NODE_11055_length_11718_cov_34.7	15024	family	Gp7-AA8	14	13	9	0.77	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia;o_Gp7-AA8;f_Gp7-AA8
BGG_LOSDA	NODE_15201_length_9537_cov_44.5	14050	family	UBA1429	12	12	11	0.99	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_UBA1429;f_UBA1429
BGG_LOSDA	NODE_20525_length_7884_cov_10.0	60243	species	JABHYP01 sp018656855	6	5	3	0.74	d_Bacteria;p_Latescibacterota;c_Latescibacteria;o_Latescibacterales;f_Latescibacteraceae;g_JABHYP01;s_JABHYP01 sp018656855
BGG_LOSDA	NODE_26141_length_6727_cov_11.4	13148	family	Lacipirellulaceae	10	10	4	0.56	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_Lacipirellulaceae
BGG_LOSDA	NODE_35394_length_5498_cov_56.0	2	superkingdom	Bacteria	4	4	4	1.0	d_Bacteria
BGG_LOSDA	NODE_46626_length_4567_cov_11.2	36404	species	B6-G9 sp003650365	3	2	1	0.5	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_F082;g_B6-G9;s_B6-G9 sp003650365
BGG_LOSDA	NODE_60422_length_3832_cov_10.4	0	no rank	unclassified	2	0	0	0.0	
BGG_LOSDA	NODE_81061_length_3142_cov_77.5	24	class	Actinomycetia	3	3	2	0.67	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_BOSW	NODE_77_length_279201_cov_26.9	55931	genus	Labilithrix	223	214	147	0.73	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales;f_Polyangiaceae;g_Labilithrix
BGG_POSDC	NODE_986_length_38420_cov_57.4	83521	genus	Nitrososphaera	52	51	39	0.89	d_Archaea;p_Thermoproteota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Nitrososphaera
BGG_POSDC	NODE_1754_length_30455_cov_108.2	35458	genus	JACDBZ01	29	28	21	0.84	d_Bacteria;p_Chloroflexota;c_Limnocylindria;o_QHBO01;f_QHBO01;g_JACDBZ01
BGG_POSDC	NODE_2719_length_25678_cov_29.1	23	phylum	Actinobacteriota	18	16	11	0.71	d_Bacteria;p_Actinobacteriota
BGG_POSDC	NODE_4364_length_20817_cov_21.3	46	order	Burkholderiales	20	19	11	0.61	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
BGG_POSDC	NODE_5668_length_18420_cov_445.5	24	class	Actinomycetia	22	20	16	0.78	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_POSDC	NODE_7133_length_16649_cov_15.7	2	superkingdom	Bacteria	12	12	11	0.88	d_Bacteria
BGG_POSDC	NODE_9050_length_14896_cov_27.3	32710	family	WHSQ01	12	12	5	0.54	d_Bacteria;p_Actinobacteriota;c_UBA4738;o_CADDZG01;f_WHSQ01
BGG_POSDC	NODE_10375_length_13923_cov_18.8	949	class	Thermoleophilia	14	12	6	0.54	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia
BGG_POSDC	NODE_12501_length_12674_cov_9.0	477	family	Sphingomonadaceae	18	17	16	0.99	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
BGG_POSDC	NODE_15032_length_11574_cov_11.8	6912	order	Vicinamibacterales	16	16	14	1.0	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales
BGG_MOSDA	NODE_50155_length_5910_cov_10.8	67950	species	Z2-YC6860 sp001579845	6	6	3	0.59	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Z2-YC6860;s_Z2-YC6860 sp001579845
BGG_MOSDA	NODE_57998_length_5436_cov_17.8	119	order	Actinomycetales	6	5	4	0.68	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales
BGG_MOSDA	NODE_64472_length_5118_cov_8.7	25542	genus	ZC4RG25	4	3	2	0.67	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_ZC4RG25
BGG_MOSDA	NODE_71253_length_4835_cov_34.1	1261	class	Paceibacteria	4	4	2	0.65	d_Bacteria;p_Patescibacteria;c_Paceibacteria
BGG_MOSDA	NODE_78707_length_4567_cov_18.1	321	family	Micrococcaceae	9	8	4	0.5	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
BGG_MOSDA	NODE_87095_length_4312_cov_7.5	3704	genus	Mucilaginibacter	5	3	3	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Mucilaginibacter
BGG_MOSDA	NODE_93874_length_4131_cov_8.2	2	superkingdom	Bacteria	6	5	5	1.0	d_Bacteria
BGG_MOSDA	NODE_102684_length_3922_cov_6.5	2	superkingdom	Bacteria	3	3	2	0.67	d_Bacteria
BGG_MOSDA	NODE_110097_length_3773_cov_7.1	41451	species	Phyllobacterium sp000282595	4	4	4	1.0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Phyllobacterium;s_Phyllobacterium sp000282595
BGG_MOSDA	NODE_119696_length_3596_cov_8.6	40630	species	Bythopirellula goksoyri	2	2	1	0.5	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_Lacipirellulaceae;g_Bythopirellula;s_Bythopirellula goksoyri
BGG_ROSDA	NODE_56367_length_4090_cov_19.4	80709	species	WHTG01 sp009377835	4	4	4	1.0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Euzebyales;f_Egibacteraceae;g_WHTG01;s_WHTG01 sp009377835
BGG_ROSDA	NODE_71924_length_3500_cov_21.7	39910	species	AC-14 sp005888325	2	2	1	0.5	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales;f_AC-14;g_AC-14;s_AC-14 sp005888325
BGG_ROSDA	NODE_91057_length_3020_cov_8.2	37898	species	JACCXP01 sp013696905	3	2	2	1.0	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Solirubrobacterales;f_Thermoleophilaceae;g_JACCXP01;s_JACCXP01 sp013696905
BGG_LOSDA	NODE_516_length_73133_cov_33.5	31574	family	QHBO01	68	62	48	0.8	d_Bacteria;p_Chloroflexota;c_Limnocylindria;o_QHBO01;f_QHBO01
BGG_LOSDA	NODE_1505_length_40826_cov_56.7	5915	family	SG8-39	65	62	33	0.57	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_SG8-39
BGG_LOSDA	NODE_3419_length_24521_cov_32.4	4898	genus	CAIXSE01	27	25	20	0.89	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_UBA2241;f_UBA2241;g_CAIXSE01
BGG_LOSDA	NODE_5725_length_17677_cov_15.8	2	superkingdom	Bacteria	18	15	15	1.0	d_Bacteria
BGG_LOSDA	NODE_9395_length_12976_cov_14.7	25006	family	SM23-33	10	9	6	0.58	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_SM23-33;f_SM23-33
BGG_LOSDA	NODE_13429_length_10339_cov_75.3	24	class	Actinomycetia	13	10	6	0.66	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
BGG_LOSDA	NODE_17666_length_8690_cov_15.0	13904	genus	UBA6249	10	10	5	0.5	d_Bacteria;p_Omnitrophota;c_Koll11;o_GIF10;f_UBA6249;g_UBA6249
BGG_QOSDA	NODE_40216_length_5280_cov_16.5	4861	order	Endomicrobiales	5	5	4	0.8	d_Bacteria;p_Elusimicrobiota;c_Endomicrobia;o_Endomicrobiales
BGG_QOSDA	NODE_48387_length_4625_cov_16.3	4495	family	VadinHA17	5	5	3	0.74	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17
BGG_QOSDA	NODE_56569_length_4147_cov_26.0	2704	order	Pirellulales	3	3	2	0.67	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales
BGG_QOSDA	NODE_68050_length_3640_cov_520.3	10	class	Bacilli	58	56	30	0.57	d_Bacteria;p_Firmicutes;c_Bacilli
BGG_QOSDA	NODE_80032_length_3260_cov_7.9	15686	family	Dethiobacteraceae	3	3	3	1.0	d_Bacteria;p_Firmicutes D;c_Dethiobacteria;o_Dethiobacterales;f_Dethiobacteraceae
BGG_KOSDC	NODE_46_length_167104_cov_17.8	64	family	Burkholderiaceae	200	195	129	0.7	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
BGG_KOSDC	NODE_398_length_62946_cov_41.0	183	order	Rhizobiales	62	60	33	0.65	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
